num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
141,0.5,0.165577,127989,141,282
141,0.75,0.250351,189491,141,282
142,0.125,0.044945,37656,142,284
142,0.25,0.087923,66345,142,284
142,0.5,0.177058,128450,142,284
142,0.75,0.283588,192436,142,284
143,0.125,0.047032,36663,143,286
143,0.25,0.096104,68352,143,286
143,0.5,0.178832,131790,143,286
143,0.75,0.273585,195685,143,286
144,0.125,0.051057,36602,144,288
144,0.25,0.097098,68987,144,288
144,0.5,0.183329,134711,144,288
144,0.75,0.241668,197966,144,288
145,0.125,0.050437,38533,145,290
145,0.25,0.099837,70894,145,290
145,0.5,0.192977,134423,145,290
145,0.75,0.275272,201744,145,290
146,0.125,0.054569,37334,146,292
146,0.25,0.108015,71014,146,292
146,0.5,0.199302,136368,146,292
146,0.75,0.302916,203560,146,292
147,0.125,0.053682,37210,147,294
147,0.25,0.106555,71563,147,294
147,0.5,0.194954,141126,147,294
147,0.75,0.302647,200943,147,294
148,0.125,0.051686,38130,148,296
148,0.25,0.105886,71690,148,296
148,0.5,0.194681,142378,148,296
148,0.75,0.257192,212286,148,296
149,0.125,0.059305,40025,149,298
149,0.25,0.102818,75949,149,298
149,0.5,0.211341,145222,149,298
149,0.75,0.304903,211062,149,298
150,0.125,0.052707,39659,150,300
150,0.25,0.112118,73537,150,300
150,0.5,0.212817,146314,150,300
150,0.75,0.304361,214575,150,300
151,0.125,0.059459,39184,151,302
151,0.25,0.118607,75660,151,302
151,0.5,0.205503,147145,151,302
151,0.75,0.308026,218268,151,302
152,0.125,0.061817,40219,152,304
152,0.25,0.112618,76969,152,304
152,0.5,0.204686,147929,152,304
152,0.75,0.281775,223256,152,304
153,0.125,0.055515,41929,153,306
153,0.25,0.105303,81127,153,306
153,0.5,0.224714,149289,153,306
153,0.75,0.286958,225107,153,306
154,0.125,0.059427,43224,154,308
154,0.25,0.119023,80248,154,308
154,0.5,0.240025,158564,154,308
154,0.75,0.295165,228269,154,308
155,0.125,0.061247,42561,155,310
155,0.25,0.106893,80239,155,310
155,0.5,0.222133,158506,155,310
155,0.75,0.331086,229636,155,310
156,0.125,0.057681,42412,156,312
156,0.25,0.127146,83080,156,312
156,0.5,0.262394,155658,156,312
156,0.75,0.333686,233784,156,312
157,0.125,0.070046,44210,157,314
157,0.25,0.1324,81600,157,314
157,0.5,0.223705,159297,157,314
157,0.75,0.312575,236660,157,314
158,0.125,0.063785,41515,158,316
158,0.25,0.115463,80947,158,316
158,0.5,0.241397,159549,158,316
158,0.75,0.349832,239931,158,316
159,0.125,0.071256,44283,159,318
159,0.25,0.115042,81387,159,318
159,0.5,0.219532,164820,159,318
159,0.75,0.343405,240580,159,318
160,0.125,0.070321,44872,160,320
160,0.25,0.134991,86244,160,320
160,0.5,0.229101,164626,160,320
160,0.75,0.334941,244424,160,320
161,0.125,0.064508,46409,161,322
161,0.25,0.139389,88372,161,322
161,0.5,0.235738,167052,161,322
161,0.75,0.342685,244862,161,322
162,0.125,0.063492,45026,162,324
162,0.25,0.136745,88633,162,324
162,0.5,0.25358,167938,162,324
162,0.75,0.36842,248163,162,324
163,0.125,0.110219,47219,163,326
163,0.25,0.128104,88170,163,326
163,0.5,0.283277,172683,163,326
163,0.75,0.341046,253532,163,326
164,0.125,0.068794,46289,164,328
164,0.25,0.148243,89635,164,328
164,0.5,0.276605,177670,164,328
164,0.75,0.369213,260056,164,328
165,0.125,0.075004,47109,165,330
165,0.25,0.132123,91802,165,330
165,0.5,0.248513,175616,165,330
165,0.75,0.356419,261535,165,330
166,0.125,0.075183,47626,166,332
166,0.25,0.135992,91434,166,332
166,0.5,0.292721,179459,166,332
166,0.75,0.448541,263589,166,332
167,0.125,0.077248,49643,167,334
167,0.25,0.155903,90071,167,334
167,0.5,0.285757,177348,167,334
167,0.75,0.369062,266985,167,334
168,0.125,0.071462,51123,168,336
168,0.25,0.141631,94312,168,336
168,0.5,0.25351,184411,168,336
168,0.75,0.415538,274953,168,336
169,0.125,0.079384,49680,169,338
169,0.25,0.150027,95611,169,338
169,0.5,0.293649,183217,169,338
169,0.75,0.405187,274851,169,338
170,0.125,0.075785,52766,170,340
170,0.25,0.1581,98414,170,340
170,0.5,0.314073,191109,170,340
170,0.75,0.444055,270767,170,340
171,0.125,0.076454,51968,171,342
171,0.25,0.167485,98742,171,342
171,0.5,0.286471,191854,171,342
171,0.75,0.443765,284127,171,342
172,0.125,0.091741,50719,172,344
172,0.25,0.170796,100365,172,344
172,0.5,0.307999,195438,172,344
172,0.75,0.412713,278799,172,344
173,0.125,0.085134,50960,173,346
173,0.25,0.147639,96099,173,346
173,0.5,0.335168,195483,173,346
173,0.75,0.466422,288292,173,346
174,0.125,0.089363,54697,174,348
174,0.25,0.168878,99722,174,348
174,0.5,0.314584,196997,174,348
174,0.75,0.506525,284822,174,348
175,0.125,0.102467,54055,175,350
175,0.25,0.19017,103374,175,350
175,0.5,0.351942,200777,175,350
175,0.75,0.562252,296556,175,350
176,0.125,0.104341,56300,176,352
176,0.25,0.186612,105020,176,352
176,0.5,0.361796,201754,176,352
176,0.75,0.476147,298445,176,352
177,0.125,0.110322,54351,177,354
177,0.25,0.219356,104290,177,354
177,0.5,0.351087,207496,177,354
177,0.75,0.524601,301955,177,354
178,0.125,0.10601,56751,178,356
178,0.25,0.196609,104159,178,356
178,0.5,0.375754,204472,178,356
178,0.75,0.529219,301727,178,356
179,0.125,0.107244,56328,179,358
179,0.25,0.208068,106184,179,358
179,0.5,0.407557,212563,179,358
179,0.75,0.513269,307906,179,358
180,0.125,0.102717,56997,180,360
180,0.25,0.217045,110668,180,360
180,0.5,0.405379,214447,180,360
180,0.75,0.617289,314187,180,360
181,0.125,0.131258,57140,181,362
181,0.25,0.19467,110415,181,362
181,0.5,0.391823,214563,181,362
181,0.75,0.481949,312364,181,362
182,0.125,0.100392,57747,182,364
182,0.25,0.177759,110992,182,364
182,0.5,0.362638,219097,182,364
182,0.75,0.482876,315417,182,364
183,0.125,0.094663,56645,183,366
183,0.25,0.198805,115291,183,366
183,0.5,0.363546,219113,183,366
183,0.75,0.494365,322319,183,366
184,0.125,0.102172,58358,184,368
184,0.25,0.183172,112687,184,368
184,0.5,0.3569,219884,184,368
184,0.75,0.565338,323487,184,368
185,0.125,0.106057,59098,185,370
185,0.25,0.203076,114226,185,370
185,0.5,0.378703,221095,185,370
185,0.75,0.520255,327440,185,370
186,0.125,0.10439,59730,186,372
186,0.25,0.208422,110161,186,372
186,0.5,0.353104,226546,186,372
186,0.75,0.568977,332745,186,372
187,0.125,0.09725,62180,187,374
187,0.25,0.185649,116233,187,374
187,0.5,0.401432,229334,187,374
187,0.75,0.575049,339001,187,374
188,0.125,0.116487,62489,188,376
188,0.25,0.204313,118214,188,376
188,0.5,0.386887,234275,188,376
188,0.75,0.523397,340760,188,376
189,0.125,0.11277,64001,189,378
189,0.25,0.207228,117446,189,378
189,0.5,0.363753,230106,189,378
